#  ABSOLUTE_lo   ABSOLUTE_up    FLAVOUR_lo    FLAVOUR_up  High_PT_EXTR_lo  High_PT_EXTR_up  PileUpBias_lo  PileUpBias_up  PileUpDataMC_lo  PileUpDataMC_up  PileUpJetRate_lo  PileUpJetRate_up  PileUpOOT_lo  PileUpOOT_up   PileUpPt_lo   PileUpPt_up  RelativeFSR_lo  RelativeFSR_up  RelativeJERC1_lo  RelativeJERC1_up  RelativeJERC2_lo  RelativeJERC2_up  RelativeJERCHF_lo  RelativeJERCHF_up  RelativeStatEC2_lo  RelativeStatEC2_up  RelativeStatHF_lo  RelativeStatHF_up  SINGLE_PION_0005  SINGLE_PION_0510  SINGLE_PION_1015  SINGLE_PION_BAR  SINGLE_PION_END       TIME_lo       TIME_up         ewcor       lumierr         npcor      npcorerr         pt_lo         pt_up       stat_lo       stat_up         uncor    unf_err_lo    unf_err_up            xs          y_lo          y_up
              -0.034                0.035               -0.013                0.013               -0.029                0.029                0.005               -0.005                    0                   -0               -0.011                0.011               -0.003                0.003               -0.011                0.011               -0.001                0.001                   -0                   -0                   -0                    0                   -0                   -0                   -0                    0                   -0                   -0                    0             0.011098                    0             0.011098                    0                   -0                   -0               1.0004                0.022               1.0145            0.0063312                  468                  507               -0.009                0.009                 0.01               -0.023                0.023               0.7474                  0.5                    1
              -0.035                0.036               -0.013                0.013                -0.03                 0.03                0.005               -0.004                    0                   -0               -0.011                0.011               -0.002                0.002                -0.01                 0.01               -0.001                0.001                   -0                   -0                   -0                    0                   -0                   -0                   -0                    0                   -0                   -0                    0            0.0070489                    0            0.0070489                    0                   -0                   -0               1.0006                0.022               1.0126            0.0031471                  507                  548               -0.004                0.004                 0.01               -0.024                0.022               0.4242                  0.5                    1
              -0.036                0.037               -0.013                0.013               -0.031                0.032                0.004               -0.004                    0                   -0               -0.011                0.011               -0.002                0.002                -0.01                 0.01               -0.001                0.001                   -0                   -0                   -0                    0                   -0                   -0                   -0                    0                   -0                   -0                    0            0.0044158                    0            0.0044158                    0                   -0                   -0                1.002                0.022               1.0117            0.0017895                  548                  592               -0.005                0.005                 0.01               -0.024                0.023               0.2449                  0.5                    1
              -0.038                0.038               -0.013                0.013               -0.033                0.034                0.004               -0.004                    0                   -0                -0.01                 0.01               -0.002                0.002               -0.009                0.009               -0.001                0.001                   -0                    0                   -0                    0                   -0                    0                   -0                    0                   -0                    0                    0            0.0028273                    0            0.0028273                    0                   -0                    0               1.0031                0.022               1.0104           0.00094873                  592                  638               -0.006                0.006                 0.01               -0.024                0.023               0.1428                  0.5                    1
              -0.039                 0.04               -0.013                0.013               -0.034                0.036                0.004               -0.004                    0                   -0                -0.01                 0.01               -0.002                0.002               -0.008                0.009               -0.001                0.001                   -0                    0                   -0                    0                   -0                    0                   -0                    0                   -0                    0                    0            0.0017868                    0            0.0017868                    0                   -0                    0               1.0046                0.022               1.0091           0.00049154                  638                  686               -0.007                0.007                 0.01               -0.024                0.023              0.08285                  0.5                    1
               -0.04                0.041               -0.013                0.013               -0.036                0.038                0.004               -0.003                    0                   -0               -0.009                0.009               -0.002                0.002               -0.008                0.008               -0.001                0.001                   -0                    0                   -0                    0                   -0                    0                   -0                    0                   -0                    0                    0            0.0011302                    0            0.0011302                    0                   -0                    0               1.0065                0.022               1.0083           0.00027123                  686                  737               -0.009                0.009                 0.01               -0.024                0.023              0.04771                  0.5                    1
              -0.042                0.042               -0.014                0.014               -0.037                 0.04                0.003               -0.003                    0                   -0               -0.009                0.009               -0.002                0.002               -0.007                0.008               -0.001                0.001                    0                    0                   -0                    0                    0                    0                   -0                    0                    0                    0                    0           0.00071286                    0           0.00071286                    0                    0                    0               1.0083                0.022               1.0076           0.00014928                  737                  790               -0.012                0.012                 0.01               -0.024                0.025              0.02762                  0.5                    1
              -0.044                0.044               -0.014                0.014               -0.039                0.042                0.003               -0.003                    0                   -0               -0.009                0.009               -0.002                0.002               -0.007                0.007               -0.001                0.001                    0                    0                   -0                    0                    0                    0                   -0                    0                    0                    0                    0           0.00043293                    0           0.00043293                    0                    0                    0               1.0107                0.022               1.0069              7.9e-05                  790                  846               -0.016                0.016                 0.01               -0.025                0.023               0.0155                  0.5                    1
              -0.046                0.045               -0.014                0.014                -0.04                0.044                0.003               -0.003                    0                   -0               -0.008                0.008               -0.002                0.002               -0.007                0.007               -0.001                0.001                    0                    0                   -0                    0                    0                    0                   -0                    0                    0                    0                    0           0.00025337                    0           0.00025337                    0                    0                    0               1.0133                0.022               1.0062           3.9718e-05                  846                  905               -0.021                0.021                 0.01               -0.025                0.025             0.008333                  0.5                    1
              -0.048                0.046               -0.015                0.015               -0.042                0.046                0.003               -0.003                    0                   -0               -0.008                0.008               -0.001                0.002               -0.006                0.006               -0.001                0.001                    0                    0                   -0                    0                    0                    0                   -0                    0                    0                    0                    0           0.00014543                    0           0.00014543                    0                    0                    0               1.0161                0.022               1.0056           1.9324e-05                  905                  967               -0.028                0.028                 0.01               -0.026                0.026             0.004376                  0.5                    1
