pt_mi        ymin  ymax  NP_Pythia     NP_Herwig++   NP_Powheg     Powheg_stat   TOT_NP        TOT_NP_stat   PS            PS_stat       NPxPS         NPxPS_stat
570.000000   1     1.5   1.016000e+00  1.018000e+00  1.004433e+00  5.241097e-03  1.011216e+00  6.783605e-03  9.599394e-01  4.799697e-01  9.707065e-01  4.853969e-01
615.000000   1     1.5   1.015000e+00  1.016000e+00  1.003998e+00  5.253295e-03  1.009999e+00  6.000996e-03  9.571679e-01  4.785840e-01  9.667387e-01  4.834035e-01
662.000000   1     1.5   1.013000e+00  1.015000e+00  1.003628e+00  5.264857e-03  1.009314e+00  5.685806e-03  9.545262e-01  4.772631e-01  9.634169e-01  4.817390e-01
711.500000   1     1.5   1.012000e+00  1.013000e+00  1.003310e+00  5.275820e-03  1.008155e+00  4.844904e-03  9.519809e-01  4.759905e-01  9.597445e-01  4.798944e-01
763.500000   1     1.5   1.011000e+00  1.012000e+00  1.003036e+00  5.286127e-03  1.007518e+00  4.482150e-03  9.495296e-01  4.747648e-01  9.566680e-01  4.783530e-01
818.000000   1     1.5   1.011000e+00  1.011000e+00  1.002798e+00  5.295754e-03  1.006899e+00  4.100919e-03  9.471695e-01  4.735848e-01  9.537042e-01  4.768679e-01
875.500000   1     1.5   1.010000e+00  1.010000e+00  1.002591e+00  5.304778e-03  1.006296e+00  3.704429e-03  9.448782e-01  4.724391e-01  9.508267e-01  4.754262e-01
936.000000   1     1.5   1.009000e+00  1.009000e+00  1.002410e+00  5.313189e-03  1.005705e+00  3.294945e-03  9.426563e-01  4.713282e-01  9.480342e-01  4.740273e-01
999.500000   1     1.5   1.008000e+00  1.009000e+00  1.002252e+00  5.320997e-03  1.005626e+00  3.374100e-03  9.405041e-01  4.702521e-01  9.457952e-01  4.729083e-01
1066.500000  1     1.5   1.008000e+00  1.008000e+00  1.002112e+00  5.328270e-03  1.005056e+00  2.943873e-03  9.384056e-01  4.692028e-01  9.431503e-01  4.715832e-01
1136.500000  1     1.5   1.007000e+00  1.007000e+00  1.001990e+00  5.334974e-03  1.004495e+00  2.504826e-03  9.363766e-01  4.681883e-01  9.405857e-01  4.702987e-01
1428.000000  1     1.5   1.005000e+00  1.006000e+00  1.001649e+00  5.355764e-03  1.003824e+00  2.175570e-03  9.293026e-01  4.646513e-01  9.328567e-01  4.664327e-01
123.500000   1.5   2     1.082000e+00  1.128000e+00  1.058377e+00  7.898545e-03  1.093188e+00  3.481174e-02  1.012938e+00  5.064689e-01  1.107332e+00  5.547876e-01
143.000000   1.5   2     1.070000e+00  1.106000e+00  1.045894e+00  7.988498e-03  1.075947e+00  3.005314e-02  1.001809e+00  5.009043e-01  1.077893e+00  5.397866e-01
163.500000   1.5   2     1.060000e+00  1.089000e+00  1.036775e+00  8.121050e-03  1.062887e+00  2.611279e-02  9.918413e-01  4.959206e-01  1.054215e+00  5.277436e-01
185.000000   1.5   2     1.052000e+00  1.076000e+00  1.029926e+00  8.266629e-03  1.052963e+00  2.303696e-02  9.828153e-01  4.914077e-01  1.034868e+00  5.179292e-01
208.000000   1.5   2     1.045000e+00  1.065000e+00  1.024564e+00  8.414260e-03  1.044782e+00  2.021801e-02  9.743962e-01  4.871981e-01  1.018032e+00  5.093969e-01
232.500000   1.5   2     1.040000e+00  1.056000e+00  1.020317e+00  8.556485e-03  1.038158e+00  1.784158e-02  9.665202e-01  4.832601e-01  1.003401e+00  5.019968e-01
258.500000   1.5   2     1.035000e+00  1.049000e+00  1.016916e+00  8.689609e-03  1.032958e+00  1.604199e-02  9.591317e-01  4.795658e-01  9.907427e-01  4.956103e-01
286.000000   1.5   2     1.031000e+00  1.043000e+00  1.014166e+00  8.812091e-03  1.028583e+00  1.441693e-02  9.521819e-01  4.760910e-01  9.793982e-01  4.898915e-01
315.000000   1.5   2     1.028000e+00  1.038000e+00  1.011921e+00  8.923608e-03  1.024961e+00  1.303923e-02  9.456283e-01  4.728141e-01  9.692319e-01  4.847728e-01
346.000000   1.5   2     1.025000e+00  1.034000e+00  1.010047e+00  9.026029e-03  1.022023e+00  1.197672e-02  9.393371e-01  4.696686e-01  9.600245e-01  4.801441e-01
378.500000   1.5   2     1.022000e+00  1.030000e+00  1.008497e+00  9.118063e-03  1.019248e+00  1.075149e-02  9.333904e-01  4.666952e-01  9.513568e-01  4.757842e-01
412.500000   1.5   2     1.020000e+00  1.027000e+00  1.007206e+00  9.200628e-03  1.017103e+00  9.896755e-03  9.277557e-01  4.638779e-01  9.436233e-01  4.719010e-01
449.000000   1.5   2     1.018000e+00  1.024000e+00  1.006096e+00  9.276593e-03  1.015048e+00  8.952141e-03  9.222608e-01  4.611304e-01  9.361389e-01  4.681423e-01
487.500000   1.5   2     1.016000e+00  1.022000e+00  1.005152e+00  9.345219e-03  1.013576e+00  8.423924e-03  9.169840e-01  4.584920e-01  9.294330e-01  4.647807e-01
527.500000   1.5   2     1.015000e+00  1.019000e+00  1.004356e+00  9.406413e-03  1.011678e+00  7.321835e-03  9.119754e-01  4.559877e-01  9.226257e-01  4.613611e-01
570.000000   1.5   2     1.014000e+00  1.018000e+00  1.003666e+00  9.462311e-03  1.010833e+00  7.167101e-03  9.071002e-01  4.535501e-01  9.169267e-01  4.585094e-01
615.000000   1.5   2     1.012000e+00  1.016000e+00  1.003066e+00  9.513212e-03  1.009533e+00  6.466866e-03  9.023632e-01  4.511816e-01  9.109656e-01  4.555202e-01
662.000000   1.5   2     1.011000e+00  1.015000e+00  1.002551e+00  9.559007e-03  1.008775e+00  6.224751e-03  8.978127e-01  4.489063e-01  9.056912e-01  4.528801e-01
711.500000   1.5   2     1.010000e+00  1.013000e+00  1.002101e+00  9.600639e-03  1.007550e+00  5.449533e-03  8.933948e-01  4.466974e-01  9.001403e-01  4.500965e-01
763.500000   1.5   2     1.010000e+00  1.012000e+00  1.001708e+00  9.638446e-03  1.006854e+00  5.146027e-03  8.891087e-01  4.445544e-01  8.952026e-01  4.476247e-01
818.000000   1.5   2     1.009000e+00  1.011000e+00  1.001364e+00  9.672763e-03  1.006182e+00  4.817843e-03  8.849526e-01  4.424763e-01  8.904235e-01  4.452322e-01
875.500000   1.5   2     1.008000e+00  1.010000e+00  1.001060e+00  9.704163e-03  1.005530e+00  4.469752e-03  8.808894e-01  4.404447e-01  8.857610e-01  4.428980e-01
936.000000   1.5   2     1.008000e+00  1.009000e+00  1.000792e+00  9.732846e-03  1.004896e+00  4.104018e-03  8.769229e-01  4.384615e-01  8.812162e-01  4.406228e-01
1107.500000  1.5   2     1.006000e+00  1.007000e+00  1.000230e+00  9.796230e-03  1.003615e+00  3.385067e-03  8.670647e-01  4.335323e-01  8.701990e-01  4.351094e-01
123.500000   2     2.5   1.072000e+00  1.114000e+00  1.054929e+00  7.811848e-03  1.084464e+00  2.953565e-02  9.862843e-01  4.931421e-01  1.069590e+00  5.355878e-01
143.000000   2     2.5   1.060000e+00  1.094000e+00  1.043476e+00  7.111936e-03  1.068738e+00  2.526212e-02  9.702283e-01  4.851142e-01  1.036920e+00  5.190389e-01
163.500000   2     2.5   1.051000e+00  1.079000e+00  1.035104e+00  6.621483e-03  1.057052e+00  2.194822e-02  9.555697e-01  4.777849e-01  1.010087e+00  5.054786e-01
185.000000   2     2.5   1.044000e+00  1.067000e+00  1.028813e+00  6.267562e-03  1.047906e+00  1.909363e-02  9.420634e-01  4.710317e-01  9.871942e-01  4.939248e-01
208.000000   2     2.5   1.038000e+00  1.057000e+00  1.023885e+00  6.001010e-03  1.040442e+00  1.655769e-02  9.292625e-01  4.646313e-01  9.668441e-01  4.836668e-01
232.500000   2     2.5   1.033000e+00  1.050000e+00  1.019980e+00  5.797831e-03  1.034990e+00  1.501012e-02  9.171077e-01  4.585539e-01  9.491972e-01  4.747982e-01
258.500000   2     2.5   1.029000e+00  1.043000e+00  1.016852e+00  5.641218e-03  1.029926e+00  1.307416e-02  9.055448e-01  4.527724e-01  9.326440e-01  4.664723e-01
286.000000   2     2.5   1.026000e+00  1.038000e+00  1.014321e+00  5.519244e-03  1.026161e+00  1.183927e-02  8.945249e-01  4.472625e-01  9.179264e-01  4.590853e-01
315.000000   2     2.5   1.023000e+00  1.033000e+00  1.012255e+00  5.423337e-03  1.022628e+00  1.037228e-02  8.840041e-01  4.420020e-01  9.040070e-01  4.520965e-01
346.000000   2     2.5   1.020000e+00  1.029000e+00  1.010529e+00  5.346174e-03  1.019765e+00  9.235382e-03  8.737853e-01  4.368927e-01  8.910554e-01  4.456008e-01
378.500000   2     2.5   1.018000e+00  1.026000e+00  1.009103e+00  5.284754e-03  1.017551e+00  8.448601e-03  8.640177e-01  4.320088e-01  8.791824e-01  4.396518e-01
412.500000   2     2.5   1.016000e+00  1.023000e+00  1.007914e+00  5.235459e-03  1.015457e+00  7.543087e-03  8.546641e-01  4.273321e-01  8.678746e-01  4.339852e-01
449.000000   2     2.5   1.015000e+00  1.021000e+00  1.006891e+00  5.194608e-03  1.013945e+00  7.054687e-03  8.454500e-01  4.227250e-01  8.572401e-01  4.286615e-01
487.500000   2     2.5   1.013000e+00  1.019000e+00  1.006021e+00  5.161207e-03  1.012511e+00  6.489396e-03  8.365145e-01  4.182573e-01  8.469799e-01  4.235247e-01
527.500000   2     2.5   1.012000e+00  1.017000e+00  1.005288e+00  5.134101e-03  1.011144e+00  5.856037e-03  8.279538e-01  4.139769e-01  8.371805e-01  4.186183e-01
570.000000   2     2.5   1.011000e+00  1.015000e+00  1.004652e+00  5.111474e-03  1.009826e+00  5.174160e-03  8.195463e-01  4.097731e-01  8.275990e-01  4.138212e-01
615.000000   2     2.5   1.010000e+00  1.014000e+00  1.004099e+00  5.092595e-03  1.009050e+00  4.950404e-03  8.113059e-01  4.056529e-01  8.186479e-01  4.093437e-01
662.000000   2     2.5   1.009000e+00  1.013000e+00  1.003624e+00  5.076990e-03  1.008312e+00  4.688144e-03  8.033234e-01  4.016617e-01  8.100005e-01  4.050178e-01
795.500000   2     2.5   1.007000e+00  1.010000e+00  1.002654e+00  5.047346e-03  1.006327e+00  3.672957e-03  7.834278e-01  3.917139e-01  7.883846e-01  3.942028e-01
